index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
136,full,rename,RANDOMIZATION,12,-0.008289557236891522,0.20255267577358296,13
137,full,rename,RANDOMIZATION,13,0.032934298308996066,0.33171179159752856,13
138,full,rename,RANDOMIZATION,14,0.0292079291270616,0.17731674053854207,13
139,full,rename,RANDOMIZATION,15,0.0892515586545834,0.2603760684282127,13
140,full,rename,RANDOMIZATION,16,0.11461299285292625,0.30458041553830373,13
141,full,rename,RANDOMIZATION,17,0.0694951610997892,0.2847923518965243,13
142,full,rename,RANDOMIZATION,18,0.028908276500610196,0.22537293619549617,13
143,full,rename,RANDOMIZATION,19,0.08298466239984219,0.34846182399510506,13
144,full,rename,RANDOMIZATION,20,0.14078454902538887,0.3604138843974637,13
145,full,rename,RANDOMIZATION,21,0.08965917314904243,0.38540632220094667,13
146,full,rename,RANDOMIZATION,22,0.052775512807644316,0.356101503878435,13
147,full,rename,RANDOMIZATION,23,0.042314608509723954,0.33981891849000095,13
148,full,rename,RANDOMIZATION,24,0.06428036666833435,0.35523133585105954,13
149,full,rephrase,NONE,0,0.09122351802550231,0.2909590725748503,8
150,full,rephrase,NONE,1,-0.1015977704897523,0.27237408693451404,20
151,full,rephrase,NONE,2,-0.13342912918888034,0.31221843883146466,20
152,full,rephrase,NONE,3,-0.11656459149671719,0.3041012631645335,20
153,full,rephrase,NONE,4,-0.04415100042242557,0.3277752697131595,20
154,full,rephrase,NONE,5,0.039325871097389595,0.2797057823984884,20
155,full,rephrase,NONE,6,0.03792099624406545,0.2855188096899165,20
156,full,rephrase,NONE,7,-0.06806258241995237,0.31416791035171127,20
157,full,rephrase,NONE,8,-0.012844992894679302,0.2290577627206415,20
158,full,rephrase,NONE,9,0.03271241905167699,0.22738243952004444,20
159,full,rephrase,NONE,10,0.023808082006871692,0.27382958801462187,20
160,full,rephrase,NONE,11,0.05599292535334825,0.2914481872304092,20
161,full,rephrase,NONE,12,0.053137204493395984,0.2985212796244388,20
162,full,rephrase,NONE,13,0.018953016865998512,0.33882532790153325,20
163,full,rephrase,NONE,14,-0.14803555817343292,0.3699606232287728,20
164,full,rephrase,NONE,15,-0.0870606243610382,0.3516594973758468,20
165,full,rephrase,NONE,16,-0.09769537281244992,0.2831609508393544,20
166,full,rephrase,NONE,17,-0.04465162339620292,0.3179468064138323,20
167,full,rephrase,NONE,18,-0.10882493630051612,0.2987654745914547,20
168,full,rephrase,NONE,19,-0.09542986056767402,0.23916776540693985,20
169,full,rephrase,NONE,20,-0.10388042228296399,0.1913721960065817,20
170,full,rephrase,NONE,21,-0.03542473586276173,0.27178829702814,20
171,full,rephrase,NONE,22,-0.06448590392246842,0.2736934279467366,20
172,full,rephrase,NONE,23,-0.09845612607896329,0.35375545197514024,20
173,full,rephrase,NONE,24,-0.16885028425604104,0.3127411441972954,20
174,full,rephrase,RANDOMIZATION,0,-0.007918405570924558,0.029406571906773444,7
175,full,rephrase,RANDOMIZATION,1,-0.02752405754290522,0.2413818050935176,20
176,full,rephrase,RANDOMIZATION,2,-0.10463463268242774,0.22956912524181763,20
177,full,rephrase,RANDOMIZATION,3,-0.06251424520742146,0.2476339211710983,20
178,full,rephrase,RANDOMIZATION,4,0.021573596401140083,0.2772732095673478,20
